Hearing Date,Case Number,Location,MVA Cluster,MVA Code,HDLC,NCDC,NCDC Adjusted,Vacant Lot,Vacant Lot Revised,Vacant Lot Code,Market Assessment,Market Code,Roof ,Roof Code,Exterior,Exterior Code,Foundation,Foundation Code,Overall Condition,Overall Condition Code,Character?,Character Code,Abatement Recommendation,Recommendation Code,Reviewer notes,Zipcode,GeoPIN,XPos,YPos,Potential Error in Lot Status?,Potential Error in Market Status,Reviewer
7/23/2013,12-10113-PNBL,5509 Warrington Dr,E,5,0,0,0,N/A,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,2. Fair,2,3. Poor,3,1. Good,1,2. Fair,2,No,0,sell,1,,70122,41083439,3680952.17,553245.1739,0,0,JN
7/23/2013,CEHB-11-5429,5509 Wildair Dr,E,5,0,0,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70122,41085223,3681688.187,553138.0828,0,1,AW
9/12/2013,12-09526-PNBL,5511 Congress Dr,E,5,0,0,0,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,The posted case number has been closed and a new case has been opened.,70126,41087619,3691680.836,554141.4892,0,0,AW
9/10/2013,12-09926-PNBL,5518 Wildair Dr,E,5,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,3. Poor,3,3. Poor,3,3. Poor,3,3. Poor,3,Yes,1,Sell,1,,70122,41085101,3681524.954,553354.0224,0,0,Demo
9/10/2013,13-04502-PNBL,5645 Campus Blvd,E,5,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Sell,1,,70126,41085705,3689081.454,554177.5201,0,0,JN
10/3/2013,CEHB-12-1686,5700 Red Maple Dr,E,5,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70129,41118054,3723285.652,564578.4848,0,1,JN
7/29/2013,12-10171-PNBL,5768 Wickfield Dr,E,5,0,0,0,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70122,41083351,3680931.121,554472.9516,0,0,DG
10/29/2013,12-08235-PNBL,5814 Pauline Dr,E,5,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70126,41088455,3691601.707,555550.3872,0,1,Demo
7/30/2013,12-08206-PNBL,6315 Pauline Dr,E,5,0,0,0,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70126,41087107,3691369.064,556805.8378,0,0,Demo
10/3/2013,CEHB-11-0877,6647 Pauline Dr,E,5,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70126,41087376,3690885.822,558324.2,0,1,AW
10/15/2013,13-06338-PNBL,7 Assumption Pl,E,5,0,0,0,Yes,No,0,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,No,0,Sell,1,VACANT PROPERTY,70129,41118239,3726254.394,564331.4867,1,1,Demo
7/29/2013,CEHB-11-7461,7008 Prentiss Ave,E,5,0,0,0,N/A,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,3. Poor,3,3. Poor,3,3. Poor,3,2. Fair,2,N/A,N/A,Sell,1,,70126,41091986,3701295.344,554921.5605,0,0,AW
9/24/2013,13-05634-PNBL,7421 Wayfarer St,E,5,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,3. Poor,3,2. Fair,2,2. Fair,2,No,0,Sell,1,vacant lot,70129,41118981,3725883.82,570011.3938,0,0,DG
7/22/2013,12-08419-PNBL,7551 Lehigh St,E,5,0,0,0,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70127,41114408,3710857.25,565375.2402,0,0,Demo
10/15/2013,13-06293-PNBL,7600 Lafourche St,E,5,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70127,41113404,3710256.282,565277.1712,0,1,Demo
10/7/2013,HCES-09-00256,7709 Duke Ct,E,5,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70126,41098158,3700251.612,560897.2905,0,1,Demo
9/10/2013,13-04982-PNBL,7717 Mercier St,E,5,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,No,0,Sell,1,,70128,41114339,3711295.115,566874.3196,0,0,DG
10/3/2013,13-05939-PNBL,7919 Lacombe St,E,5,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70127,41113588,3709162.313,566248.3692,0,1,Demo
10/21/2013,13-03176-PNBL,8001 Mercier St,E,5,0,0,0,Yes,Yes,1,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,The dwelling has been demolished and the leins have been paid.,70128,41114471,3710834.595,567492.255,0,0,Demo
10/21/2013,13-04772-PNBL,8801 Apple St / 2610 Eagle St,E,5,0,1,1,Yes,No,0,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70118,41030042,3663513.925,533832.9149,1,1,Demo
10/17/2013,12-09102-PNBL,8810 Apple St,E,5,0,1,1,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70118,41027728,3663410.181,533822.8575,0,0,Demo
7/22/2013,12-12736-PNBL,1208-1210 Gallier St,F,6,1,1,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70117,41064211,3690492.344,536108.9083,0,1,JN
10/21/2013,CEHB-11-1617,1223 Touro St,F,6,0,1,1,Yes,Yes,1,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,All violations have been abated and fees are paid.,70116,41062787,3684272.489,536816.8412,0,0,Demo
7/23/2013,CEHB-11-5953,1232 St Ferdinand St,F,6,0,1,1,N/A,N/A,N/A,Very Weak (Poor demand and weak sales),4,N/A,N/A,N/A,N/A,N/A,N/A,4. Very Poor,4,N/A,N/A,Sell,1,,70117,41071232,3687850.099,536985.3304,0,0,Demo
9/12/2013,12-08504-PNBL,1240 Sere St,F,6,0,0,0,,N/A,N/A,Very Weak (Poor demand and weak sales),4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70122,41106433,3677024.241,545216.5299,0,0,JN
10/1/2013,12-08166-PNBL,1259 Foy St,F,6,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70122,41108298,3677111.347,546511.7747,0,0,Demo
10/10/2013,13-03506-PNBL,1265 St Denis St,F,6,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70122,41108261,3677151.693,545753.6103,0,1,Demo
10/22/2013,CEHB-11-5379,1300-1302 Caton St,F,6,0,0,0,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,3. Poor,3,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70122,41108331,3677387.166,546732.3763,0,0,AW
10/22/2013,12-09121-PNBL,1327 Milton St,F,6,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70122,41106056,3677571.325,546156.4099,0,1,Demo
10/22/2013,13-04359-PNBL,1351 Sere St,F,6,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70122,41108372,3677884.784,545448.5491,0,1,AW
10/1/2013,13-04665-PNBL,1413-1415 Desire St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70117,41064628,3690565.785,536903.2799,0,0,DG
10/17/2013,13-06006-PNBL,1425-1427 Desire St,F,6,0,1,1,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,3. Poor,3,3. Poor,3,2. Fair,2,3. Poor,3,Yes,1,Sell,1,A NEW INCIDENT HAS BEEN CREATED.,70117,41070494,3690558.825,537005.0614,0,0,DG
10/21/2013,13-05008-PNBL,1429 Desire St,F,6,0,1,1,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70117,41070493,3690596.267,537027.9468,0,0,Demo
10/31/2013,13-06833-PNBL,1550 N Derbigny St,F,6,1,1,0,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,2. Fair,2,Yes,1,Sell,1,REMODEL,70116,41080457,3681783.257,537744.9306,0,1,DG
9/5/2013,12-11105-PNBL,1572-1574 N Prieur St,F,6,1,1,0,Yes,No,0,Very Weak (Poor demand and weak sales),4,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,vacant lot,70116,41079622,3681331.316,538293.8542,1,0,DG
10/22/2013,HCES-12-00324,1642 Frenchmen St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70116,41176057,3684341.688,538431.7525,0,1,JN
10/24/2013,CEHB-11-3917,1705-1707 Mandeville St,F,6,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,REMODEL,70117,41067430,3685680.888,538657.8422,0,1,Demo
10/8/2013,13-05428-PNBL,1804-1806 Lapeyrouse St,F,6,1,1,0,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,A new case has been started.#14-04813-MPM. There are multiple unpaid fees. The dwelling is occupied with violations.,70116,41081440,3681505.27,538219.1534,0,0,AW
10/17/2013,13-05686-PNBL,2008-2010 Philip St,F,6,0,1,1,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70113,41036941,3676269.694,524605.995,0,0,Demo
9/5/2013,12-09498-PNBL,2024-2026 St Anthony St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70116,41185396,3683171.887,539692.8742,0,0,DG
9/30/2013,CEHB-11-7332,2121-23 Bienville Ave,F,6,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,SELL LOT AFTER DEMO,70112,41017283,3677643.198,534483.2899,0,0,AW
9/9/2013,12-10402-PNBL,2201 St Andrew St,F,6,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,vacant lot,70113,41039450,3676801.656,526038.3728,0,0,Demo
10/7/2013,12-10033-PNBL,2239-2241 Music St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,0,Sell,1,VACANT PROPERTY,70117,41060056,3686591.308,540839.2159,0,1,Demo
9/30/2013,HCEC-12-01390,2266-2268 Marais St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70117,41065459,3685633.603,536684.9426,0,0,DG
10/14/2013,CEHB-11-2823,2319 N Derbigny St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70117,41064484,3685758.004,538666.73,0,1,Demo
10/3/2013,13-02727-PNBL,2407-2409 Clouet St,F,6,0,1,1,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70117,41068339,3690315.891,540943.3843,0,0,AW
10/17/2013,12-08664-PNBL,2411 Piety St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70117,41061179,3691164.425,540763.8372,0,1,Demo
10/3/2013,13-06684-PNBL,2411-2413 Lapeyrouse St,F,6,1,1,0,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,REMODEL,70119,41080078,3679881.218,539625.1054,0,1,JN
10/10/2013,13-04492-PNBL,2426 Desire St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70117,41064856,3691357.719,540797.0478,0,1,Demo
10/17/2013,13-06349-PNBL,2431 Piety St,F,6,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,REMODEL,70117,41061188,3691208.586,540943.8687,0,1,Demo
9/5/2013,13-01972-PNBL,2435 Pace Blvd/2800 Sandra Dr,F,6,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,3. Poor,3,4. Very Poor,4,N/A,N/A,Sell,1,,70114,41001200,3694311.874,522563.8213,0,0,JN
9/19/2013,13-05727-PNBL,2509-2511 Desire St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,3. Poor,3,3. Poor,3,3. Poor,3,Yes,1,Sell,1,CNAP,70117,41064511,3691592.881,541056.0927,0,0,JN
7/29/2013,CEHB-12-1081,2514-2516 N Galvez St,F,6,0,1,1,N/A,N/A,N/A,Very Weak (Poor demand and weak sales),4,3. Poor,3,3. Poor,3,3. Poor,3,3. Poor,3,Yes,1,Sell,1,,70117,41066058,3687074.944,540070.1632,0,0,AW
10/31/2013,13-04147-PNBL,2539 Desire St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70117,41064524,3691648.273,541276.5914,0,1,AW
9/12/2013,13-04217-PNBL,2600-2602 Philip St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70113,41039162,3675097.63,526371.7107,0,0,DG
10/8/2013,13-04822-PNBL,2627-2629 N Robertson St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70117,41061907,3687749.51,537969.2146,0,1,Demo
9/17/2013,13-04879-PNBL,7652 Michigan St,E,5,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,only 2 pics. can't really tell,70128,41111772,3711617.871,566612.371,0,0,Demo
9/17/2013,13-05325-PNBL,1375-1377  Annette St,F,6,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,3. Poor,3,4. Very Poor,4,3. Poor,3,4. Very Poor,4,No,0,Demolish,0,,70116,41067050,3683138.383,537162.9033,0,0,Demo
9/17/2013,13-05045-PNBL,2213 St Roch Ave,G,7,0,1,1,,N/A,N/A,Very Weak (Poor demand and weak sales),4,3. Poor,3,3. Poor,3,2. Fair,2,3. Poor,3,No,0,Demolish,0,couldn't open the case because it was locked,70117,41071799,3686274.325,540620.0932,0,0,Demo
7/22/2013,13-00483-PNBL,2722 Banks St,F,6,0,1,1,N/A,N/A,N/A,Very Weak (Poor demand and weak sales),4,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70119,41033603,3674365.342,534186.3363,0,0,Demo
9/17/2013,12-11748-PNBL,2431-2433 S Robertson St,G,7,0,1,1,,N/A,N/A,Very Weak (Poor demand and weak sales),4,3. Poor,3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70113,41039285,3674712.978,526130.6838,0,0,Demo
9/17/2013,13-04473-PNBL,5817 Franklin Ave,G,7,0,0,0,,N/A,N/A,Very Weak (Poor demand and weak sales),4,3. Poor,3,3. Poor,3,2. Fair,2,3. Poor,3,No,0,Demolish,0,NEEDS CNAP,70122,41073405,3686578.822,554623.3357,0,0,JN
9/17/2013,CEHB-11-7553,5918 Morrison Rd,G,7,0,0,0,,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,VACANT LOT,70126,41091704,3695238.449,557295.9813,0,0,Demo
9/17/2013,13-05725-PNBL,2737-2739 Mandeville St,H,8,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,3. Poor,3,3. Poor,3,3. Poor,3,N/A,N/A,Demolish,0,,70122,41078347,3685330.639,542964.2591,0,0,AW
9/19/2013,13-05487-PNBL,10218 Lakewood St,C,3,0,0,0,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70127,41105243,3713243.77,556867.8958,0,0,JN
9/19/2013,13-05043-PNBL,8821-8823 Heaton St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,IN COMPLIANCE,70118,41024408,3667445.001,538348.0858,0,0,JN
9/19/2013,12-08548-PNBL,1417 Delery St,G,7,0,1,1,,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,SELL AFTER CNAP,70117,41126488,3701034.246,534230.4806,0,0,DG
9/19/2013,13-04947-PNBL,2901-2903 Amelia St,G,7,0,1,1,,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70115,41052883,3672032.968,525661.2488,0,0,JN
9/19/2013,13-04600-PNBL,2930 Florida Ave/2930 Florida Walk,G,7,0,1,1,,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,vacant lot,70117,41071593,3689520.882,542330.964,0,0,Demo
9/23/2013,12-09943-PNBL,7433 Mercier St,E,5,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,3. Poor,3,2. Fair,2,3. Poor,3,No,0,Demolish,0,,70128,41111994,3711797.601,566126.7851,0,0,Demo
9/23/2013,13-02461-PNBL,1617-1619 S Saratoga St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,NEEDS CNAP,70113,41135676,3677272.548,526187.6603,0,0,DG
9/23/2013,13-02463-PNBL,1621-1623 S Saratoga St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70113,41135678,3677254.277,526161.3271,0,0,Demo
9/23/2013,13-03459-PNBL,2830 S Roman St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,3. Poor,3,N/A,N/A,2. Fair,2,No,0,Demolish,0,occupied,70125,41039385,3672548.769,527137.9402,0,0,DG
9/24/2013,13-05013-PNBL,229 S Dupre St,D,4,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,2. Fair,2,3. Poor,3,2. Fair,2,2. Fair,2,No,0,Demolish,0,vacant lot,70119,41035685,3674088.009,535120.2409,0,0,JN
9/24/2013,13-05438-PNBL,1933 Duels St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,4. Very Poor,4,N/A,N/A,3. Poor,3,N/A,N/A,Demolish,0,WORK IN PROGRESS,70119,41075964,3682507.848,542485.8222,0,0,Demo
10/15/2013,13-04326-PNBL,3133-3135 N Galvez St,F,6,0,1,1,Yes,Yes,1,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,A NEW INCIDENT HAS BEEN CREATED.,70117,41071467,3690287.741,539711.2828,0,0,Demo
9/24/2013,13-04372-PNBL,2005-2007 1St St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,3. Poor,3,3. Poor,3,3. Poor,3,3. Poor,3,No,0,Demolish,0,,70113,41037783,3676143.292,524489.4187,0,0,Demo
10/24/2013,13-06507-PNBL,323-25 N Roman St,F,6,0,1,1,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70112,41016644,3678346.051,534103.3231,0,0,DG
9/30/2013,CEHB-11-6675,3220 Pine St,D,4,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,3. Poor,3,4. Very Poor,4,3. Poor,3,3. Poor,3,No,0,Demolish,0,NEEDS PAINT,70125,41028326,3667992.17,532848.243,0,0,JN
9/30/2013,13-01521-PNBL,1938-1940 Elysian Fields Ave,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,3. Poor,3,2. Fair,2,2. Fair,2,N/A,N/A,Demolish,0,,70116,41064987,3684600.004,539574.6094,0,0,AW
9/30/2013,CEHB-12-0178,2225 St Bernard Ave,F,6,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,4. Very Poor,4,3. Poor,3,2. Fair,2,3. Poor,3,No,0,Demolish,0,CNAP,70119,41077951,3681037.864,540290.1655,0,0,Demo
10/29/2013,13-05450-PNBL,3503-3505 Danneel St,F,6,0,1,1,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70115,41052654,3673220.888,522730.3419,0,1,Demo
7/23/2013,12-07729-PNBL,3531-33 Audubon Ct,F,6,0,1,1,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70125,41044311,3669195.442,533277.1761,0,1,JN
10/3/2013,13-06894-PNBL,3534 Buchanan St,F,6,0,0,0,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,2. Fair,2,1. Good,1,2. Fair,2,Yes,1,Sell,1,There is a new case .#14-07976-MPM,70122,41191987,3677348.074,545234.7296,0,0,DG
10/1/2013,13-04836-PNBL,2435 Mazant St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,CNAP,70117,41068244,3693465.576,540372.1009,0,0,AW
10/1/2013,CEHB-12-1727,2939 Hollygrove St,F,6,0,1,1,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,NEEDS CNAP,70118,41029110,3663952.186,535232.2693,0,0,JN
10/1/2013,13-01511-PNBL,2609 Frankfort St,G,7,0,0,0,,N/A,N/A,Very Weak (Poor demand and weak sales),4,N/A,N/A,3. Poor,3,2. Fair,2,3. Poor,3,No,0,Demolish,0,,70122,41073429,3686387.599,557202.3893,0,0,JN
10/1/2013,13-02666-PNBL,2643 Almonaster Ave,G,7,0,1,1,,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70117,41071142,3688790.96,542385.2449,0,0,Demo
10/1/2013,12-10866-PNBL,2761 Vienna St,G,7,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,4. Very Poor,4,3. Poor,3,4. Very Poor,4,N/A,N/A,Demolish,0,,70122,41073073,3687688.473,555380.4959,0,0,Demo
